8808605	enzyme deficiency	D008661	enzyme deficiency
8808605	glucose-6-phosphate dehydrogenase (g6pd) deficiency	D005955	glucose six phosphate dehydrogenase glucose six phosphate dehydrogenase deficiency
8808605	chronic nonspherocytic hemolytic anemia	D000746	chronic nonspherocytic hemolytic anemia
8808605	g6pd deficiency	D005955	glucose six phosphate dehydrogenase deficiency
8808605	g6pd deficiency	D005955	glucose six phosphate dehydrogenase deficiency
9050866	ataxia-telangiectasia	D001260	ataxia telangiectasia
9050866	ataxia-telangiectasia	D001260	ataxia telangiectasia
9050866	ataxia-telangiectasia	D001260	ataxia telangiectasia
9012409	duarte and los angeles variant galactosemia	D005693	duarte and los angeles variant galactosemia
9012409	duarte enzyme variant of galactosemia	D005693	duarte enzyme variant of galactosemia
9012409	la variant of galactosemia	D005693	los angeles variant of galactosemia
8755645	inherited human disorder	D030342	inherited human disorder
8755645	fish-eye disease	D007863	fish eye disease
8755645	fish-eye disease	D007863	fish eye disease
8755645	fed	D007863	fish eye disease
8755645	fed	D007863	fish eye disease
8755645	fed	D007863	fish eye disease
8751855	hereditary breast cancer	D061325	hereditary breast cancer
8751855	breast cancer	D001943	breast cancer
8751855	hereditary breast cancer	D061325	hereditary breast cancer
8751855	hereditary breast cancer	D061325	hereditary breast cancer
8751855	hereditary breast cancers	D061325	hereditary breast cancers
8751855	hereditary breast or ovarian cancer	D061325	hereditary breast or ovarian cancer
8751855	breast cancer	D001943	breast cancer
8751855	breast or ovarian cancer	D001943|D010051	breast or ovarian cancer
8751855	hereditary cancer	D009386	hereditary cancer
8751855	hereditary breast cancer	D061325	hereditary breast cancer
8751855	hereditary breast cancer	D061325	hereditary breast cancer
8674108	tumor	D009369	tumor
8674108	breast and ovarian cancers	D001943|D010051	breast and ovarian cancers
8674108	tumors	D009369	tumors
9223312	alveolar rhabdomyosarcoma	D018232	alveolar rhabdomyosarcoma
9223312	hematopoietic and solid tumors	D019337	hematopoietic and solid tumors
9223312	solid tumor	D009369	solid tumor
9223312	alveolar rhabdomyosarcoma	D018232	alveolar rhabdomyosarcoma
9223312	alveolar rhabdomyosarcoma	D018232	alveolar rhabdomyosarcoma
8917548	ataxia-telangiectasia	D001260	ataxia telangiectasia
8917548	ataxia-telangiectasia	D001260	ataxia telangiectasia
8917548	thymomas	D013945	thymomas
8917548	ataxia-telangiectasia	D001260	ataxia telangiectasia
8825599	glucose-6-phosphate dehydrogenase deficiency	D005955	glucose six phosphate dehydrogenase deficiency
8825599	g6pd deficiency	D005955	g six pd deficiency
9072974	brain, breast, and prostate cancer	D001932|D001943|D011471	brain breast and prostate cancer
9072974	tumor	D009369	tumor
9072974	cancers	D009369	cancers
9072974	glioblastoma	D005909	glioblastoma
9072974	prostate cancer	D011471	prostate cancer
9072974	breast cancer	D001943	breast cancer
9072974	primary glioblastomas	D005909	primary glioblastomas
9072974	tumor	D009369	tumor
9072974	tumor	D009369	tumor
9072974	metastasis	D009362	metastasis
8898652	colorectal cancers	D015179	colorectal cancers
8898652	colorectal cancers	D015179	colorectal cancers
8898652	pancreatic cancers	D010190	pancreatic cancers
8898652	colorectal cancers	D015179	colorectal cancers
8898652	colorectal cancer	D015179	colorectal cancer
8898652	cancers	D009369	cancers
8898652	colorectal cancers	D015179	colorectal cancers
8898652	colorectal cancers	D015179	colorectal cancers
8938427	breast-ovarian cancer	D061325	breast ovarian cancer
8938427	tumors	D009369	tumors
8938427	tumor	D009369	tumor
8938427	tumors	D009369	tumors
8621452	type ii human complement c2 deficiency	OMIM:217000	type two human complement c two deficiency
8621452	type ii complement protein c2 deficiency	OMIM:217000	type two complement protein c two deficiency
8621452	type i c2 deficiency	OMIM:217000	type one c two deficiency
8621452	type ii deficiency	OMIM:217000	type two deficiency
8621452	type ii c2 deficiency	OMIM:217000	type two c two deficiency
8843194	growth retardation	D006130	growth retardation
8843194	chromosomal fragmentation during meiosis	D048629	chromosomal fragmentation during meiosis
8843194	immune defects	D007154	immune defects
8843194	thymic lymphoma	D013953	thymic lymphoma
8843194	inherited human disease	D030342	inherited human disease
8843194	ataxia-telangiectasia	D001260	ataxia telangiectasia
8843194	ataxia-telangiectasia	D001260	ataxia telangiectasia
8843194	infertility	D007246	infertility
8843194	immune defects	D007154	immune defects
8843194	behavioral abnormalities	D001523	behavioral abnormalities
8843194	thymic lymphomas	D008223	thymic lymphomas
8843194	tumor	D009369	tumor
8700509	breast/ovarian cancer	D061325	breast ovarian cancer
9241281	acute radiation toxicity	D054508	acute radiation toxicity
9241281	cancer-associated diseases	D009369	cancer associated diseases
9241281	ataxia-telangiectasia	D001260	ataxia telangiectasia
9241281	li-fraumeni syndrome	D016864	li fraumeni syndrome
9241281	t-cell lymphomas	D016399	t cell lymphomas
9241281	tumour	D009369	tumour
9241281	acute radiation toxicity	D054508	acute radiation toxicity
9241281	tumours	D009369	tumours
9218625	c7 deficiency	OMIM:610102	c seven deficiency
9218625	c7 deficiency	OMIM:610102	c seven deficiency
9218625	c7-deficient	OMIM:610102	c seven deficient
8931701	wiskott-aldrich syndrome	D014923	wiskott aldrich syndrome
8931701	wiskott-aldrich syndrome	D014923	wiskott aldrich syndrome
8931701	was	D014923	wiskott aldrich syndrome
8931701	x-linked immunodeficiency disease	D007153+D040181	x linked immunodeficiency disease
8931701	was	D014923	wiskott aldrich syndrome
8931701	was	D014923	wiskott aldrich syndrome
8931701	was	D014923	wiskott aldrich syndrome
8931701	was	D014923	wiskott aldrich syndrome
8931701	isolated thrombocytopenia	D013921	isolated thrombocytopenia
8931701	was	D014923	wiskott aldrich syndrome
8931701	was	D014923	wiskott aldrich syndrome
8661102	ataxia-telangiectasia	D001260	ataxia telangiectasia
8661102	ataxia-telangiectasia	D001260	ataxia telangiectasia
8661102	a-t	D001260	ataxia telangiectasia
8782829	endometrial cancer	D016889	endometrial cancer
8782829	tumours	D009369	tumours
8782829	microsatellite instability	D053842	microsatellite instability
8782829	hereditary nonpolyposis colorectal cancer	D003123	hereditary nonpolyposis colorectal cancer
8782829	hnpcc	D003123	hereditary nonpolyposis colorectal cancer
8782829	sporadic tumours	D009369	sporadic tumours
8782829	endometrial carcinomas	D016889	endometrial carcinomas
8782829	endometrial carcinoma	D016889	endometrial carcinoma
8782829	endometrial carcinoma	D016889	endometrial carcinoma
8782829	tumours	D009369	tumours
9066888	kniest dysplasia	C537207	kniest dysplasia
9066888	kniest dysplasia	C537207	kniest dysplasia
9066888	chondrodysplasia	D010009	chondrodysplasia
9066888	defective formation of type ii collagen	D003095	defective formation of type two collagen
9066888	severely handicapped	D008607	severely handicapped
9066888	short stature	D006130	short stature
9066888	restricted joint mobility	D007592	restricted joint mobility
9066888	blindness	D001766	blindness
9066888	kniest dysplasia	C537207	kniest dysplasia
8841191	inherited breast cancer	D001943	inherited breast cancer
8841191	breast cancer	D001943	breast cancer
8841191	familial breast cancer	D001943	familial breast cancer
8841191	inherited breast/ovarian cancer	D061325	inherited breast ovarian cancer
8841191	inherited breast cancer	D001943	inherited breast cancer
8841191	breast cancer	D001943	breast cancer
8841191	male breast cancer	D018567	male breast cancer
8841191	breast cancer	D001943	breast cancer
8841191	hereditary breast cancer	D001943	hereditary breast cancer
8678979	retinoblastoma	D012175	retinoblastoma
9182899	c9 deficiency	C565165	c nine deficiency
9182899	c9-deficient	C565165	c nine deficient
9182899	c9 deficiency	C565165	c nine deficiency
9182899	complete deficiency of c9	C565165	complete deficiency of c nine
9182899	c9 deficiency	C565165	c nine deficiency
9020847	myotonic dystrophy	D009223	myotonic dystrophy
9020847	dm	D009223	dm
9020847	dm	D009223	dm
9020847	dm	D009223	dm
9174057	pancreatic cancer	D010190	pancreatic cancer
9174057	solid tumors	D009369	solid tumors
9174057	pancreatic cancer	D010190	pancreatic cancer
9174057	tumor types	D009369	tumor types
9174057	pancreatic tumors	D010190	pancreatic tumors
9174057	pancreatic tumors	D010190	pancreatic tumors
9174057	tumors	D009369	tumors
9174057	pancreatic tumors	D010190	pancreatic tumors
9174057	pancreatic cancer	D010190	pancreatic cancer
